Iteration	Best Fitness	Max Weight
1	3584.0	4029.0
2	3335.0	4029.0
3	3358.0	4029.0
4	3584.0	4028.0
5	3295.0	4027.0
6	3393.0	4029.0
7	3306.0	4027.0
8	3584.0	4029.0
9	3244.0	4028.0
10	3275.0	4027.0
11	3454.0	4029.0
12	3584.0	4027.0
13	3584.0	4027.0
14	3193.0	4027.0
15	3381.0	4028.0
16	3584.0	4029.0
17	3584.0	4027.0
18	3584.0	4028.0
19	3584.0	4027.0
20	3524.0	4029.0
21	3272.0	4028.0
22	3584.0	4029.0
23	3584.0	4028.0
24	3255.0	4029.0
25	3272.0	4024.0
26	3275.0	4029.0
27	3584.0	4027.0
28	3330.0	4029.0
29	3564.0	4027.0
30	3322.0	4029.0
31	3347.0	4029.0
32	3297.0	4027.0
33	3411.0	4026.0
34	3584.0	4024.0
35	3391.0	4020.0
36	3495.0	4029.0
37	3584.0	4029.0
38	3342.0	4029.0
39	3376.0	4029.0
40	3215.0	4029.0
41	3117.0	4029.0
42	3584.0	4027.0
43	3406.0	4028.0
44	3376.0	4026.0
45	3584.0	4028.0
46	3584.0	4029.0
47	3488.0	4029.0
48	3524.0	4029.0
49	3282.0	4029.0
50	3540.0	4027.0
51	3400.0	4023.0
52	3326.0	4026.0
53	3374.0	4024.0
54	3213.0	4025.0
55	3584.0	4023.0
56	3584.0	4029.0
57	3358.0	4028.0
58	3584.0	4029.0
59	3153.0	4026.0
60	3584.0	4029.0
61	3467.0	4027.0
62	3328.0	4025.0
63	3404.0	4027.0
64	3584.0	4026.0
65	3214.0	4029.0
66	3506.0	4028.0
67	3506.0	4029.0
68	3552.0	4022.0
69	3396.0	4027.0
70	3272.0	4029.0
71	3179.0	4028.0
72	3347.0	4023.0
73	3403.0	4026.0
74	3584.0	4029.0
75	3484.0	4026.0
76	3300.0	4028.0
77	3315.0	4029.0
78	3584.0	4028.0
79	3371.0	4029.0
80	3510.0	4028.0
81	3225.0	4027.0
82	3397.0	4027.0
83	3422.0	4028.0
84	3214.0	4027.0
85	3584.0	4027.0
86	3584.0	4029.0
87	3486.0	4024.0
88	3584.0	4028.0
89	3529.0	4029.0
90	3337.0	4029.0
91	3300.0	4024.0
92	3302.0	4028.0
93	3200.0	4029.0
94	3404.0	4029.0
95	3584.0	4023.0
96	3186.0	4028.0
97	3584.0	4025.0
98	3584.0	4029.0
99	3584.0	4028.0
100	3330.0	4028.0
